TimeStamp,ma_feature,close,Ask,Bid,Volume,Position,Cash,NetValue,Action
2025-05-20 15:30:00,-0.036,59.47,59.48,59.47,1299.0,0,0.0,0.0,Hold
2025-05-20 15:31:00,-0.046,59.44,59.44,59.43,2565.0,0,0.0,0.0,Hold
2025-05-20 15:32:00,-0.058,59.41,59.41,59.4,1415.0,0,0.0,0.0,Hold
2025-05-20 15:33:00,-0.062,59.44,59.45,59.44,785.0,0,0.0,0.0,Hold
2025-05-20 15:34:00,-0.063,59.46,59.47,59.46,1401.0,0,0.0,0.0,Hold
2025-05-20 15:35:00,-0.079,59.37,59.38,59.37,2324.0,0,0.0,0.0,Hold
2025-05-20 15:36:00,-0.102,59.3,59.3,59.29,2227.0,0,0.0,0.0,Hold
2025-05-20 15:37:00,-0.116,59.33,59.33,59.32,1016.0,0,0.0,0.0,Hold
2025-05-20 15:38:00,-0.12,59.37,59.37,59.36,1729.0,0,0.0,0.0,Hold
2025-05-20 15:39:00,-0.115,59.42,59.43,59.42,1704.0,0,0.0,0.0,Hold
2025-05-20 15:40:00,-0.122,59.35,59.35,59.34,1141.0,0,0.0,0.0,Hold
2025-05-20 15:41:00,-0.13,59.33,59.33,59.32,1191.0,0,0.0,0.0,Hold
2025-05-20 15:42:00,-0.148,59.26,59.26,59.25,2372.0,0,0.0,0.0,Hold
2025-05-20 15:43:00,-0.151,59.33,59.33,59.32,1921.0,0,0.0,0.0,Hold
2025-05-20 15:44:00,-0.165,59.25,59.26,59.25,3617.0,0,0.0,0.0,Hold
2025-05-20 15:45:00,-0.173,59.27,59.27,59.26,1426.0,0,0.0,0.0,Hold
2025-05-20 15:46:00,-0.18,59.26,59.26,59.25,1670.0,0,0.0,0.0,Hold
2025-05-20 15:47:00,-0.193,59.21,59.22,59.21,1533.0,0,0.0,0.0,Hold
2025-05-20 15:48:00,-0.187,59.3,59.31,59.3,1374.0,0,0.0,0.0,Hold
2025-05-20 15:49:00,-0.187,59.27,59.27,59.26,888.0,0,0.0,0.0,Hold
2025-05-20 15:50:00,-0.189,59.25,59.25,59.24,922.0,0,0.0,0.0,Hold
2025-05-20 15:51:00,-0.186,59.27,59.28,59.27,1176.0,0,0.0,0.0,Hold
2025-05-20 15:52:00,-0.168,59.36,59.36,59.35,999.0,0,0.0,0.0,Hold
2025-05-20 15:53:00,-0.142,59.42,59.42,59.41,1196.0,0,0.0,0.0,Hold
2025-05-20 15:54:00,-0.114,59.46,59.46,59.45,1295.0,0,0.0,0.0,Hold
2025-05-20 15:55:00,-0.094,59.44,59.45,59.44,1370.0,0,0.0,0.0,Hold
2025-05-20 15:56:00,-0.079,59.43,59.44,59.43,1204.0,0,0.0,0.0,Hold
2025-05-20 15:57:00,-0.067,59.42,59.43,59.42,595.0,0,0.0,0.0,Hold
2025-05-20 15:58:00,-0.069,59.35,59.36,59.35,1315.0,0,0.0,0.0,Hold
