TimeStamp,rsi_feature,close,ask,bid,Position,Cash,NetValue,Action
2025-05-20 15:30:00,20.656,134.56,134.56,134.54,1,-134.56,-0.02,Buy
2025-05-20 15:31:00,32.204,134.23,134.23,134.22,1,-134.56,-0.34,Hold
2025-05-20 15:32:00,38.238,133.98,133.99,133.97,1,-134.56,-0.59,Hold
2025-05-20 15:33:00,26.617,134.28,134.29,134.28,1,-134.56,-0.28,Hold
2025-05-20 15:34:00,32.541,134.02,134.03,134.02,1,-134.56,-0.54,Hold
2025-05-20 15:35:00,26.215,134.22,134.23,134.21,1,-134.56,-0.35,Hold
2025-05-20 15:36:00,33.691,133.84,133.84,133.83,1,-134.56,-0.73,Hold
2025-05-20 15:37:00,34.875,133.77,133.78,133.77,1,-134.56,-0.79,Hold
2025-05-20 15:38:00,28.196,134.0,134.01,134.0,1,-134.56,-0.56,Hold
2025-05-20 15:39:00,29.554,133.93,133.94,133.93,1,-134.56,-0.63,Hold
2025-05-20 15:40:00,29.754,133.92,133.93,133.91,1,-134.56,-0.65,Hold
2025-05-20 15:41:00,33.259,133.74,133.75,133.74,1,-134.56,-0.82,Hold
2025-05-20 15:42:00,31.351,133.8,133.81,133.8,1,-134.56,-0.76,Hold
2025-05-20 15:43:00,27.335,133.93,133.93,133.92,1,-134.56,-0.64,Hold
2025-05-20 15:44:00,30.725,133.77,133.78,133.76,1,-134.56,-0.8,Hold
2025-05-20 15:45:00,33.082,133.65,133.65,133.64,1,-134.56,-0.92,Hold
2025-05-20 15:46:00,35.486,133.52,133.53,133.52,1,-134.56,-1.04,Hold
2025-05-20 15:47:00,41.075,133.16,133.17,133.16,1,-134.56,-1.4,Hold
2025-05-20 15:48:00,40.397,133.18,133.18,133.17,1,-134.56,-1.39,Hold
2025-05-20 15:49:00,43.268,132.97,132.97,132.96,1,-134.56,-1.6,Hold
2025-05-20 15:50:00,44.163,132.9,132.9,132.89,1,-134.56,-1.67,Hold
2025-05-20 15:51:00,37.269,133.1,133.11,133.1,1,-134.56,-1.46,Hold
2025-05-20 15:52:00,26.803,133.47,133.47,133.46,1,-134.56,-1.1,Hold
2025-05-20 15:53:00,25.797,133.51,133.52,133.51,1,-134.56,-1.05,Hold
2025-05-20 15:54:00,23.758,133.59,133.59,133.58,1,-134.56,-0.98,Hold
2025-05-20 15:55:00,31.798,133.16,133.17,133.16,1,-134.56,-1.4,Hold
2025-05-20 15:56:00,28.987,133.27,133.28,133.27,1,-134.56,-1.29,Hold
2025-05-20 15:57:00,30.56,133.18,133.2,133.18,1,-134.56,-1.38,Hold
2025-05-20 15:58:00,34.16,132.96,132.97,132.96,1,-134.56,-1.6,Hold
2025-05-20 15:59:00,29.407,133.14,133.15,133.14,1,-134.56,-1.42,Hold
2025-05-20 16:00:00,29.146,133.15,133.15,133.14,1,-134.56,-1.42,Hold
2025-05-20 16:01:00,32.171,132.98,132.98,132.97,1,-134.56,-1.59,Hold
